date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:53:38	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-239b%22	https://themewagon.github.io/robots.txt		(from )
09:53:38	54980/54980	---M-Z	200	added ('OK')	text/html	etag:W/%22639aade8-d6c4%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/index.html	(from )
09:53:38	176523/176523	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-2b18b%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/mdi/css/materialdesignicons.min.css	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/mdi/css/materialdesignicons.min.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:38	2598/2598	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-a26%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/css/vendor.bundle.base.css	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/css/vendor.bundle.base.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:39	6635/6635	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-19eb%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/jvectormap/jquery-jvectormap.css	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/jvectormap/jquery-jvectormap.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:39	33818/33818	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-841a%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/flag-icon-css/css/flag-icon.min.css	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/flag-icon-css/css/flag-icon.min.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:39	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-d17%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/owl-carousel-2/owl.carousel.min.css	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/owl-carousel-2/owl.carousel.min.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:39	1013/1013	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-3f5%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/owl-carousel-2/owl.theme.default.min.css	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/vendors/owl-carousel-2/owl.theme.default.min.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:40	793043/793043	---M-Z	200	added ('OK')	text/css	etag:W/%22639aade8-c19d3%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/css/style.css	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/css/style.css	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:40	1039/1039	---M--	200	added ('OK')	image/png	etag:%22639aade8-40f%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/images/favicon.png	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/images/favicon.png	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:40	54980/54980	---M-Z	200	added ('OK')	text/html	etag:W/%22639aade8-d6c4%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/index.html	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/index-2.html	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:40	4559/4559	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22639aade8-11cf%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/images/logo.svg	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/images/logo.svg	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:41	1177/1177	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22639aade8-499%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/images/logo-mini.svg	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/images/logo-mini.svg	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:41	13908/13908	---M--	200	added ('OK')	image/jpeg	etag:%22639aade8-3654%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/images/faces/face15.jpg	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/assets/images/faces/face15.jpg	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:41	46049/46049	---M-Z	200	added ('OK')	text/html	etag:W/%22639aade9-b3e1%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/pages/ui-features/buttons.html	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/pages/ui-features/buttons.html	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:42	57841/57841	---M-Z	200	added ('OK')	text/html	etag:W/%22639aade9-e1f1%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/pages/ui-features/dropdowns.html	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/pages/ui-features/dropdowns.html	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
09:53:42	38879/38879	---M-Z	200	added ('OK')	text/html	etag:W/%22639aade9-97df%22	https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/pages/ui-features/typography.html	C:/Users/admin/Downloads/admin/themewagon.github.io/corona-free-dark-bootstrap-admin-template/pages/ui-features/typography.html	(from https://themewagon.github.io/corona-free-dark-bootstrap-admin-template/)
